序号	Emoji	建议分类	展示方式	主网格代表	原始界面位置	图片文件	图片存在	CodePoint	Unicode分组	Unicode子组	Unicode状态	中文名	英文名
263	👍🏿	手势	肤色变体（右键）	👍🏿	未直接列在现有 Emoji 网格	1f44d-1f3ff.png	是	U+1F44D U+1F3FF	People & Body	hand-fingers-closed	fully-qualified	Thumbs上符号、较深肤色	THUMBS UP SIGN / DARK SKIN TONE
264	👎	手势	主网格	👎	Emoji·符号与旗帜 / 第 42 行	1f44e.png	是	U+1F44E	People & Body	hand-fingers-closed	fully-qualified	拇指向下	THUMBS DOWN SIGN
265	👎🏻	手势	肤色变体（右键）	👎🏻	未直接列在现有 Emoji 网格	1f44e-1f3fb.png	是	U+1F44E U+1F3FB	People & Body	hand-fingers-closed	fully-qualified	Thumbs下符号、较浅肤色	THUMBS DOWN SIGN / LIGHT SKIN TONE
266	👎🏼	手势	肤色变体（右键）	👎🏼	未直接列在现有 Emoji 网格	1f44e-1f3fc.png	是	U+1F44E U+1F3FC	People & Body	hand-fingers-closed	fully-qualified	Thumbs下符号、中等偏浅肤色	THUMBS DOWN SIGN / MEDIUM-LIGHT SKIN TONE
267	👎🏽	手势	肤色变体（右键）	👎🏽	未直接列在现有 Emoji 网格	1f44e-1f3fd.png	是	U+1F44E U+1F3FD	People & Body	hand-fingers-closed	fully-qualified	Thumbs下符号、中等肤色	THUMBS DOWN SIGN / MEDIUM SKIN TONE
268	👎🏾	手势	肤色变体（右键）	👎🏾	未直接列在现有 Emoji 网格	1f44e-1f3fe.png	是	U+1F44E U+1F3FE	People & Body	hand-fingers-closed	fully-qualified	Thumbs下符号、中等偏深肤色	THUMBS DOWN SIGN / MEDIUM-DARK SKIN TONE
269	👎🏿	手势	肤色变体（右键）	👎🏿	未直接列在现有 Emoji 网格	1f44e-1f3ff.png	是	U+1F44E U+1F3FF	People & Body	hand-fingers-closed	fully-qualified	Thumbs下符号、较深肤色	THUMBS DOWN SIGN / DARK SKIN TONE
270	✊	手势	主网格	✊	Emoji·符号与旗帜 / 第 42 行	270a.png	是	U+270A	People & Body	hand-fingers-closed	fully-qualified	举起拳头	RAISED FIST
271	✊🏻	手势	肤色变体（右键）	✊🏻	未直接列在现有 Emoji 网格	270a-1f3fb.png	是	U+270A U+1F3FB	People & Body	hand-fingers-closed	fully-qualified	Raised拳头、较浅肤色	RAISED FIST / LIGHT SKIN TONE
272	✊🏼	手势	肤色变体（右键）	✊🏼	未直接列在现有 Emoji 网格	270a-1f3fc.png	是	U+270A U+1F3FC	People & Body	hand-fingers-closed	fully-qualified	Raised拳头、中等偏浅肤色	RAISED FIST / MEDIUM-LIGHT SKIN TONE
273	✊🏽	手势	肤色变体（右键）	✊🏽	未直接列在现有 Emoji 网格	270a-1f3fd.png	是	U+270A U+1F3FD	People & Body	hand-fingers-closed	fully-qualified	Raised拳头、中等肤色	RAISED FIST / MEDIUM SKIN TONE
274	✊🏾	手势	肤色变体（右键）	✊🏾	未直接列在现有 Emoji 网格	270a-1f3fe.png	是	U+270A U+1F3FE	People & Body	hand-fingers-closed	fully-qualified	Raised拳头、中等偏深肤色	RAISED FIST / MEDIUM-DARK SKIN TONE
275	✊🏿	手势	肤色变体（右键）	✊🏿	未直接列在现有 Emoji 网格	270a-1f3ff.png	是	U+270A U+1F3FF	People & Body	hand-fingers-closed	fully-qualified	Raised拳头、较深肤色	RAISED FIST / DARK SKIN TONE
276	👊	手势	主网格	👊	Emoji·表情与人物 / 第 4 行	1f44a.png	是	U+1F44A	People & Body	hand-fingers-closed	fully-qualified	出拳	FISTED HAND SIGN
277	👊🏻	手势	肤色变体（右键）	👊🏻	未直接列在现有 Emoji 网格	1f44a-1f3fb.png	是	U+1F44A U+1F3FB	People & Body	hand-fingers-closed	fully-qualified	Fisted手符号、较浅肤色	FISTED HAND SIGN / LIGHT SKIN TONE
278	👊🏼	手势	肤色变体（右键）	👊🏼	未直接列在现有 Emoji 网格	1f44a-1f3fc.png	是	U+1F44A U+1F3FC	People & Body	hand-fingers-closed	fully-qualified	Fisted手符号、中等偏浅肤色	FISTED HAND SIGN / MEDIUM-LIGHT SKIN TONE
279	👊🏽	手势	肤色变体（右键）	👊🏽	未直接列在现有 Emoji 网格	1f44a-1f3fd.png	是	U+1F44A U+1F3FD	People & Body	hand-fingers-closed	fully-qualified	Fisted手符号、中等肤色	FISTED HAND SIGN / MEDIUM SKIN TONE
280	👊🏾	手势	肤色变体（右键）	👊🏾	未直接列在现有 Emoji 网格	1f44a-1f3fe.png	是	U+1F44A U+1F3FE	People & Body	hand-fingers-closed	fully-qualified	Fisted手符号、中等偏深肤色	FISTED HAND SIGN / MEDIUM-DARK SKIN TONE
281	👊🏿	手势	肤色变体（右键）	👊🏿	未直接列在现有 Emoji 网格	1f44a-1f3ff.png	是	U+1F44A U+1F3FF	People & Body	hand-fingers-closed	fully-qualified	Fisted手符号、较深肤色	FISTED HAND SIGN / DARK SKIN TONE
282	🤛	手势	主网格	🤛	Emoji·符号与旗帜 / 第 43 行	1f91b.png	是	U+1F91B	People & Body	hand-fingers-closed	fully-qualified	朝左的拳头	LEFT-FACING FIST
283	🤛🏻	手势	肤色变体（右键）	🤛🏻	未直接列在现有 Emoji 网格	1f91b-1f3fb.png	是	U+1F91B U+1F3FB	People & Body	hand-fingers-closed	fully-qualified	左-Facing拳头、较浅肤色	LEFT-FACING FIST / LIGHT SKIN TONE
284	🤛🏼	手势	肤色变体（右键）	🤛🏼	未直接列在现有 Emoji 网格	1f91b-1f3fc.png	是	U+1F91B U+1F3FC	People & Body	hand-fingers-closed	fully-qualified	左-Facing拳头、中等偏浅肤色	LEFT-FACING FIST / MEDIUM-LIGHT SKIN TONE
285	🤛🏽	手势	肤色变体（右键）	🤛🏽	未直接列在现有 Emoji 网格	1f91b-1f3fd.png	是	U+1F91B U+1F3FD	People & Body	hand-fingers-closed	fully-qualified	左-Facing拳头、中等肤色	LEFT-FACING FIST / MEDIUM SKIN TONE
286	🤛🏾	手势	肤色变体（右键）	🤛🏾	未直接列在现有 Emoji 网格	1f91b-1f3fe.png	是	U+1F91B U+1F3FE	People & Body	hand-fingers-closed	fully-qualified	左-Facing拳头、中等偏深肤色	LEFT-FACING FIST / MEDIUM-DARK SKIN TONE
287	🤛🏿	手势	肤色变体（右键）	🤛🏿	未直接列在现有 Emoji 网格	1f91b-1f3ff.png	是	U+1F91B U+1F3FF	People & Body	hand-fingers-closed	fully-qualified	左-Facing拳头、较深肤色	LEFT-FACING FIST / DARK SKIN TONE
288	🤜	手势	主网格	🤜	Emoji·符号与旗帜 / 第 43 行	1f91c.png	是	U+1F91C	People & Body	hand-fingers-closed	fully-qualified	朝右的拳头	RIGHT-FACING FIST
289	🤜🏻	手势	肤色变体（右键）	🤜🏻	未直接列在现有 Emoji 网格	1f91c-1f3fb.png	是	U+1F91C U+1F3FB	People & Body	hand-fingers-closed	fully-qualified	右-Facing拳头、较浅肤色	RIGHT-FACING FIST / LIGHT SKIN TONE
290	🤜🏼	手势	肤色变体（右键）	🤜🏼	未直接列在现有 Emoji 网格	1f91c-1f3fc.png	是	U+1F91C U+1F3FC	People & Body	hand-fingers-closed	fully-qualified	右-Facing拳头、中等偏浅肤色	RIGHT-FACING FIST / MEDIUM-LIGHT SKIN TONE
291	🤜🏽	手势	肤色变体（右键）	🤜🏽	未直接列在现有 Emoji 网格	1f91c-1f3fd.png	是	U+1F91C U+1F3FD	People & Body	hand-fingers-closed	fully-qualified	右-Facing拳头、中等肤色	RIGHT-FACING FIST / MEDIUM SKIN TONE
292	🤜🏾	手势	肤色变体（右键）	🤜🏾	未直接列在现有 Emoji 网格	1f91c-1f3fe.png	是	U+1F91C U+1F3FE	People & Body	hand-fingers-closed	fully-qualified	右-Facing拳头、中等偏深肤色	RIGHT-FACING FIST / MEDIUM-DARK SKIN TONE
293	🤜🏿	手势	肤色变体（右键）	🤜🏿	未直接列在现有 Emoji 网格	1f91c-1f3ff.png	是	U+1F91C U+1F3FF	People & Body	hand-fingers-closed	fully-qualified	右-Facing拳头、较深肤色	RIGHT-FACING FIST / DARK SKIN TONE
294	👏	手势	主网格	👏	Emoji·表情与人物 / 第 4 行	1f44f.png	是	U+1F44F	People & Body	hands	fully-qualified	鼓掌	CLAPPING HANDS SIGN
295	👏🏻	手势	肤色变体（右键）	👏🏻	未直接列在现有 Emoji 网格	1f44f-1f3fb.png	是	U+1F44F U+1F3FB	People & Body	hands	fully-qualified	ClappingHands符号、较浅肤色	CLAPPING HANDS SIGN / LIGHT SKIN TONE
296	👏🏼	手势	肤色变体（右键）	👏🏼	未直接列在现有 Emoji 网格	1f44f-1f3fc.png	是	U+1F44F U+1F3FC	People & Body	hands	fully-qualified	ClappingHands符号、中等偏浅肤色	CLAPPING HANDS SIGN / MEDIUM-LIGHT SKIN TONE
297	👏🏽	手势	肤色变体（右键）	👏🏽	未直接列在现有 Emoji 网格	1f44f-1f3fd.png	是	U+1F44F U+1F3FD	People & Body	hands	fully-qualified	ClappingHands符号、中等肤色	CLAPPING HANDS SIGN / MEDIUM SKIN TONE
298	👏🏾	手势	肤色变体（右键）	👏🏾	未直接列在现有 Emoji 网格	1f44f-1f3fe.png	是	U+1F44F U+1F3FE	People & Body	hands	fully-qualified	ClappingHands符号、中等偏深肤色	CLAPPING HANDS SIGN / MEDIUM-DARK SKIN TONE
299	👏🏿	手势	肤色变体（右键）	👏🏿	未直接列在现有 Emoji 网格	1f44f-1f3ff.png	是	U+1F44F U+1F3FF	People & Body	hands	fully-qualified	ClappingHands符号、较深肤色	CLAPPING HANDS SIGN / DARK SKIN TONE
300	🙌	手势	主网格	🙌	Emoji·表情与人物 / 第 5 行	1f64c.png	是	U+1F64C	People & Body	hands	fully-qualified	举双手	PERSON RAISING BOTH HANDS IN CELEBRATION
301	🙌🏻	手势	肤色变体（右键）	🙌🏻	未直接列在现有 Emoji 网格	1f64c-1f3fb.png	是	U+1F64C U+1F3FB	People & Body	hands	fully-qualified	人物RaisingBothHands内Celebration、较浅肤色	PERSON RAISING BOTH HANDS IN CELEBRATION / LIGHT SKIN TONE
302	🙌🏼	手势	肤色变体（右键）	🙌🏼	未直接列在现有 Emoji 网格	1f64c-1f3fc.png	是	U+1F64C U+1F3FC	People & Body	hands	fully-qualified	人物RaisingBothHands内Celebration、中等偏浅肤色	PERSON RAISING BOTH HANDS IN CELEBRATION / MEDIUM-LIGHT SKIN TONE
303	🙌🏽	手势	肤色变体（右键）	🙌🏽	未直接列在现有 Emoji 网格	1f64c-1f3fd.png	是	U+1F64C U+1F3FD	People & Body	hands	fully-qualified	人物RaisingBothHands内Celebration、中等肤色	PERSON RAISING BOTH HANDS IN CELEBRATION / MEDIUM SKIN TONE
304	🙌🏾	手势	肤色变体（右键）	🙌🏾	未直接列在现有 Emoji 网格	1f64c-1f3fe.png	是	U+1F64C U+1F3FE	People & Body	hands	fully-qualified	人物RaisingBothHands内Celebration、中等偏深肤色	PERSON RAISING BOTH HANDS IN CELEBRATION / MEDIUM-DARK SKIN TONE
305	🙌🏿	手势	肤色变体（右键）	🙌🏿	未直接列在现有 Emoji 网格	1f64c-1f3ff.png	是	U+1F64C U+1F3FF	People & Body	hands	fully-qualified	人物RaisingBothHands内Celebration、较深肤色	PERSON RAISING BOTH HANDS IN CELEBRATION / DARK SKIN TONE
306	🫶	手势	主网格	🫶	Emoji·表情与人物 / 第 7 行	1faf6.png	是	U+1FAF6	People & Body	hands	fully-qualified	做成心形的双手	HEART HANDS
307	👐	手势	主网格	👐	Emoji·表情与人物 / 第 4 行	1f450.png	是	U+1F450	People & Body	hands	fully-qualified	张开双手	OPEN HANDS SIGN
308	👐🏻	手势	肤色变体（右键）	👐🏻	未直接列在现有 Emoji 网格	1f450-1f3fb.png	是	U+1F450 U+1F3FB	People & Body	hands	fully-qualified	开放Hands符号、较浅肤色	OPEN HANDS SIGN / LIGHT SKIN TONE
309	👐🏼	手势	肤色变体（右键）	👐🏼	未直接列在现有 Emoji 网格	1f450-1f3fc.png	是	U+1F450 U+1F3FC	People & Body	hands	fully-qualified	开放Hands符号、中等偏浅肤色	OPEN HANDS SIGN / MEDIUM-LIGHT SKIN TONE
310	👐🏽	手势	肤色变体（右键）	👐🏽	未直接列在现有 Emoji 网格	1f450-1f3fd.png	是	U+1F450 U+1F3FD	People & Body	hands	fully-qualified	开放Hands符号、中等肤色	OPEN HANDS SIGN / MEDIUM SKIN TONE
311	👐🏾	手势	肤色变体（右键）	👐🏾	未直接列在现有 Emoji 网格	1f450-1f3fe.png	是	U+1F450 U+1F3FE	People & Body	hands	fully-qualified	开放Hands符号、中等偏深肤色	OPEN HANDS SIGN / MEDIUM-DARK SKIN TONE
312	👐🏿	手势	肤色变体（右键）	👐🏿	未直接列在现有 Emoji 网格	1f450-1f3ff.png	是	U+1F450 U+1F3FF	People & Body	hands	fully-qualified	开放Hands符号、较深肤色	OPEN HANDS SIGN / DARK SKIN TONE
313	🤲	手势	主网格	🤲	Emoji·符号与旗帜 / 第 43 行	1f932.png	是	U+1F932	People & Body	hands	fully-qualified	掌心向上托起	PALMS UP TOGETHER
314	🤲🏻	手势	肤色变体（右键）	🤲🏻	未直接列在现有 Emoji 网格	1f932-1f3fb.png	是	U+1F932 U+1F3FB	People & Body	hands	fully-qualified	Palms上Together、较浅肤色	PALMS UP TOGETHER / LIGHT SKIN TONE
315	🤲🏼	手势	肤色变体（右键）	🤲🏼	未直接列在现有 Emoji 网格	1f932-1f3fc.png	是	U+1F932 U+1F3FC	People & Body	hands	fully-qualified	Palms上Together、中等偏浅肤色	PALMS UP TOGETHER / MEDIUM-LIGHT SKIN TONE
316	🤲🏽	手势	肤色变体（右键）	🤲🏽	未直接列在现有 Emoji 网格	1f932-1f3fd.png	是	U+1F932 U+1F3FD	People & Body	hands	fully-qualified	Palms上Together、中等肤色	PALMS UP TOGETHER / MEDIUM SKIN TONE
317	🤲🏾	手势	肤色变体（右键）	🤲🏾	未直接列在现有 Emoji 网格	1f932-1f3fe.png	是	U+1F932 U+1F3FE	People & Body	hands	fully-qualified	Palms上Together、中等偏深肤色	PALMS UP TOGETHER / MEDIUM-DARK SKIN TONE
318	🤲🏿	手势	肤色变体（右键）	🤲🏿	未直接列在现有 Emoji 网格	1f932-1f3ff.png	是	U+1F932 U+1F3FF	People & Body	hands	fully-qualified	Palms上Together、较深肤色	PALMS UP TOGETHER / DARK SKIN TONE
319	🤝	手势	主网格	🤝	Emoji·表情与人物 / 第 6 行	1f91d.png	是	U+1F91D	People & Body	hands	fully-qualified	握手	HANDSHAKE
320	🙏	手势	主网格	🙏	Emoji·表情与人物 / 第 5 行	1f64f.png	是	U+1F64F	People & Body	hands	fully-qualified	双手合十	PERSON WITH FOLDED HANDS
321	🙏🏻	手势	肤色变体（右键）	🙏🏻	未直接列在现有 Emoji 网格	1f64f-1f3fb.png	是	U+1F64F U+1F3FB	People & Body	hands	fully-qualified	人物带FoldedHands、较浅肤色	PERSON WITH FOLDED HANDS / LIGHT SKIN TONE
322	🙏🏼	手势	肤色变体（右键）	🙏🏼	未直接列在现有 Emoji 网格	1f64f-1f3fc.png	是	U+1F64F U+1F3FC	People & Body	hands	fully-qualified	人物带FoldedHands、中等偏浅肤色	PERSON WITH FOLDED HANDS / MEDIUM-LIGHT SKIN TONE
323	🙏🏽	手势	肤色变体（右键）	🙏🏽	未直接列在现有 Emoji 网格	1f64f-1f3fd.png	是	U+1F64F U+1F3FD	People & Body	hands	fully-qualified	人物带FoldedHands、中等肤色	PERSON WITH FOLDED HANDS / MEDIUM SKIN TONE
324	🙏🏾	手势	肤色变体（右键）	🙏🏾	未直接列在现有 Emoji 网格	1f64f-1f3fe.png	是	U+1F64F U+1F3FE	People & Body	hands	fully-qualified	人物带FoldedHands、中等偏深肤色	PERSON WITH FOLDED HANDS / MEDIUM-DARK SKIN TONE
325	🙏🏿	手势	肤色变体（右键）	🙏🏿	未直接列在现有 Emoji 网格	1f64f-1f3ff.png	是	U+1F64F U+1F3FF	People & Body	hands	fully-qualified	人物带FoldedHands、较深肤色	PERSON WITH FOLDED HANDS / DARK SKIN TONE
326	✍️	手势	主网格	✍️	Emoji·表情与人物 / 第 6 行	270d.png	是	U+270D U+FE0F	People & Body	hand-prop	fully-qualified	写字	WRITING HAND
327	✍	手势	呈现别名（不重复显示）	✍️	Emoji·表情与人物 / 第 6 行	270d.png	是	U+270D	People & Body	hand-prop	unqualified	写字	WRITING HAND
328	✍🏻	手势	肤色变体（右键）	✍🏻	未直接列在现有 Emoji 网格	270d-1f3fb.png	是	U+270D U+1F3FB	People & Body	hand-prop	fully-qualified	Writing手、较浅肤色	WRITING HAND / LIGHT SKIN TONE
329	✍🏼	手势	肤色变体（右键）	✍🏼	未直接列在现有 Emoji 网格	270d-1f3fc.png	是	U+270D U+1F3FC	People & Body	hand-prop	fully-qualified	Writing手、中等偏浅肤色	WRITING HAND / MEDIUM-LIGHT SKIN TONE
330	✍🏽	手势	肤色变体（右键）	✍🏽	未直接列在现有 Emoji 网格	270d-1f3fd.png	是	U+270D U+1F3FD	People & Body	hand-prop	fully-qualified	Writing手、中等肤色	WRITING HAND / MEDIUM SKIN TONE
331	✍🏾	手势	肤色变体（右键）	✍🏾	未直接列在现有 Emoji 网格	270d-1f3fe.png	是	U+270D U+1F3FE	People & Body	hand-prop	fully-qualified	Writing手、中等偏深肤色	WRITING HAND / MEDIUM-DARK SKIN TONE
332	✍🏿	手势	肤色变体（右键）	✍🏿	未直接列在现有 Emoji 网格	270d-1f3ff.png	是	U+270D U+1F3FF	People & Body	hand-prop	fully-qualified	Writing手、较深肤色	WRITING HAND / DARK SKIN TONE
333	💅	手势	主网格	💅	Emoji·符号与旗帜 / 第 43 行	1f485.png	是	U+1F485	People & Body	hand-prop	fully-qualified	涂指甲油	NAIL POLISH
334	💅🏻	手势	肤色变体（右键）	💅🏻	未直接列在现有 Emoji 网格	1f485-1f3fb.png	是	U+1F485 U+1F3FB	People & Body	hand-prop	fully-qualified	NailPolish、较浅肤色	NAIL POLISH / LIGHT SKIN TONE
335	💅🏼	手势	肤色变体（右键）	💅🏼	未直接列在现有 Emoji 网格	1f485-1f3fc.png	是	U+1F485 U+1F3FC	People & Body	hand-prop	fully-qualified	NailPolish、中等偏浅肤色	NAIL POLISH / MEDIUM-LIGHT SKIN TONE
336	💅🏽	手势	肤色变体（右键）	💅🏽	未直接列在现有 Emoji 网格	1f485-1f3fd.png	是	U+1F485 U+1F3FD	People & Body	hand-prop	fully-qualified	NailPolish、中等肤色	NAIL POLISH / MEDIUM SKIN TONE
337	💅🏾	手势	肤色变体（右键）	💅🏾	未直接列在现有 Emoji 网格	1f485-1f3fe.png	是	U+1F485 U+1F3FE	People & Body	hand-prop	fully-qualified	NailPolish、中等偏深肤色	NAIL POLISH / MEDIUM-DARK SKIN TONE
338	💅🏿	手势	肤色变体（右键）	💅🏿	未直接列在现有 Emoji 网格	1f485-1f3ff.png	是	U+1F485 U+1F3FF	People & Body	hand-prop	fully-qualified	NailPolish、较深肤色	NAIL POLISH / DARK SKIN TONE
339	🤳	手势	主网格	🤳	Emoji·符号与旗帜 / 第 43 行	1f933.png	是	U+1F933	People & Body	hand-prop	fully-qualified	自拍	SELFIE
340	🤳🏻	手势	肤色变体（右键）	🤳🏻	未直接列在现有 Emoji 网格	1f933-1f3fb.png	是	U+1F933 U+1F3FB	People & Body	hand-prop	fully-qualified	Selfie、较浅肤色	SELFIE / LIGHT SKIN TONE
341	🤳🏼	手势	肤色变体（右键）	🤳🏼	未直接列在现有 Emoji 网格	1f933-1f3fc.png	是	U+1F933 U+1F3FC	People & Body	hand-prop	fully-qualified	Selfie、中等偏浅肤色	SELFIE / MEDIUM-LIGHT SKIN TONE
342	🤳🏽	手势	肤色变体（右键）	🤳🏽	未直接列在现有 Emoji 网格	1f933-1f3fd.png	是	U+1F933 U+1F3FD	People & Body	hand-prop	fully-qualified	Selfie、中等肤色	SELFIE / MEDIUM SKIN TONE
343	🤳🏾	手势	肤色变体（右键）	🤳🏾	未直接列在现有 Emoji 网格	1f933-1f3fe.png	是	U+1F933 U+1F3FE	People & Body	hand-prop	fully-qualified	Selfie、中等偏深肤色	SELFIE / MEDIUM-DARK SKIN TONE
344	🤳🏿	手势	肤色变体（右键）	🤳🏿	未直接列在现有 Emoji 网格	1f933-1f3ff.png	是	U+1F933 U+1F3FF	People & Body	hand-prop	fully-qualified	Selfie、较深肤色	SELFIE / DARK SKIN TONE
345	💪	手势	主网格	💪	Emoji·符号与旗帜 / 第 43 行	1f4aa.png	是	U+1F4AA	People & Body	body-parts	fully-qualified	肌肉	FLEXED BICEPS
346	💪🏻	手势	肤色变体（右键）	💪🏻	未直接列在现有 Emoji 网格	1f4aa-1f3fb.png	是	U+1F4AA U+1F3FB	People & Body	body-parts	fully-qualified	FlexedBiceps、较浅肤色	FLEXED BICEPS / LIGHT SKIN TONE
347	💪🏼	手势	肤色变体（右键）	💪🏼	未直接列在现有 Emoji 网格	1f4aa-1f3fc.png	是	U+1F4AA U+1F3FC	People & Body	body-parts	fully-qualified	FlexedBiceps、中等偏浅肤色	FLEXED BICEPS / MEDIUM-LIGHT SKIN TONE
348	💪🏽	手势	肤色变体（右键）	💪🏽	未直接列在现有 Emoji 网格	1f4aa-1f3fd.png	是	U+1F4AA U+1F3FD	People & Body	body-parts	fully-qualified	FlexedBiceps、中等肤色	FLEXED BICEPS / MEDIUM SKIN TONE
349	💪🏾	手势	肤色变体（右键）	💪🏾	未直接列在现有 Emoji 网格	1f4aa-1f3fe.png	是	U+1F4AA U+1F3FE	People & Body	body-parts	fully-qualified	FlexedBiceps、中等偏深肤色	FLEXED BICEPS / MEDIUM-DARK SKIN TONE
350	💪🏿	手势	肤色变体（右键）	💪🏿	未直接列在现有 Emoji 网格	1f4aa-1f3ff.png	是	U+1F4AA U+1F3FF	People & Body	body-parts	fully-qualified	FlexedBiceps、较深肤色	FLEXED BICEPS / DARK SKIN TONE
351	🦾	手势	主网格	🦾	Emoji·符号与旗帜 / 第 73 行	1f9be.png	是	U+1F9BE	People & Body	body-parts	fully-qualified	机械手臂	MECHANICAL ARM
352	🦿	手势	主网格	🦿	Emoji·符号与旗帜 / 第 73 行	1f9bf.png	是	U+1F9BF	People & Body	body-parts	fully-qualified	机械腿	MECHANICAL LEG
353	🦵	手势	主网格	🦵	Emoji·符号与旗帜 / 第 44 行	1f9b5.png	是	U+1F9B5	People & Body	body-parts	fully-qualified	腿	LEG
354	🦵🏻	手势	肤色变体（右键）	🦵🏻	未直接列在现有 Emoji 网格	1f9b5-1f3fb.png	是	U+1F9B5 U+1F3FB	People & Body	body-parts	fully-qualified	Leg、较浅肤色	LEG / LIGHT SKIN TONE
355	🦵🏼	手势	肤色变体（右键）	🦵🏼	未直接列在现有 Emoji 网格	1f9b5-1f3fc.png	是	U+1F9B5 U+1F3FC	People & Body	body-parts	fully-qualified	Leg、中等偏浅肤色	LEG / MEDIUM-LIGHT SKIN TONE
356	🦵🏽	手势	肤色变体（右键）	🦵🏽	未直接列在现有 Emoji 网格	1f9b5-1f3fd.png	是	U+1F9B5 U+1F3FD	People & Body	body-parts	fully-qualified	Leg、中等肤色	LEG / MEDIUM SKIN TONE
357	🦵🏾	手势	肤色变体（右键）	🦵🏾	未直接列在现有 Emoji 网格	1f9b5-1f3fe.png	是	U+1F9B5 U+1F3FE	People & Body	body-parts	fully-qualified	Leg、中等偏深肤色	LEG / MEDIUM-DARK SKIN TONE
358	🦵🏿	手势	肤色变体（右键）	🦵🏿	未直接列在现有 Emoji 网格	1f9b5-1f3ff.png	是	U+1F9B5 U+1F3FF	People & Body	body-parts	fully-qualified	Leg、较深肤色	LEG / DARK SKIN TONE
359	🦶	手势	主网格	🦶	Emoji·符号与旗帜 / 第 44 行	1f9b6.png	是	U+1F9B6	People & Body	body-parts	fully-qualified	脚	FOOT
360	🦶🏻	手势	肤色变体（右键）	🦶🏻	未直接列在现有 Emoji 网格	1f9b6-1f3fb.png	是	U+1F9B6 U+1F3FB	People & Body	body-parts	fully-qualified	Foot、较浅肤色	FOOT / LIGHT SKIN TONE
361	🦶🏼	手势	肤色变体（右键）	🦶🏼	未直接列在现有 Emoji 网格	1f9b6-1f3fc.png	是	U+1F9B6 U+1F3FC	People & Body	body-parts	fully-qualified	Foot、中等偏浅肤色	FOOT / MEDIUM-LIGHT SKIN TONE
362	🦶🏽	手势	肤色变体（右键）	🦶🏽	未直接列在现有 Emoji 网格	1f9b6-1f3fd.png	是	U+1F9B6 U+1F3FD	People & Body	body-parts	fully-qualified	Foot、中等肤色	FOOT / MEDIUM SKIN TONE
363	🦶🏾	手势	肤色变体（右键）	🦶🏾	未直接列在现有 Emoji 网格	1f9b6-1f3fe.png	是	U+1F9B6 U+1F3FE	People & Body	body-parts	fully-qualified	Foot、中等偏深肤色	FOOT / MEDIUM-DARK SKIN TONE
364	🦶🏿	手势	肤色变体（右键）	🦶🏿	未直接列在现有 Emoji 网格	1f9b6-1f3ff.png	是	U+1F9B6 U+1F3FF	People & Body	body-parts	fully-qualified	Foot、较深肤色	FOOT / DARK SKIN TONE
365	👂	手势	主网格	👂	Emoji·符号与旗帜 / 第 42 行	1f442.png	是	U+1F442	People & Body	body-parts	fully-qualified	耳朵	EAR
366	👂🏻	手势	肤色变体（右键）	👂🏻	未直接列在现有 Emoji 网格	1f442-1f3fb.png	是	U+1F442 U+1F3FB	People & Body	body-parts	fully-qualified	Ear、较浅肤色	EAR / LIGHT SKIN TONE
367	👂🏼	手势	肤色变体（右键）	👂🏼	未直接列在现有 Emoji 网格	1f442-1f3fc.png	是	U+1F442 U+1F3FC	People & Body	body-parts	fully-qualified	Ear、中等偏浅肤色	EAR / MEDIUM-LIGHT SKIN TONE
368	👂🏽	手势	肤色变体（右键）	👂🏽	未直接列在现有 Emoji 网格	1f442-1f3fd.png	是	U+1F442 U+1F3FD	People & Body	body-parts	fully-qualified	Ear、中等肤色	EAR / MEDIUM SKIN TONE
369	👂🏾	手势	肤色变体（右键）	👂🏾	未直接列在现有 Emoji 网格	1f442-1f3fe.png	是	U+1F442 U+1F3FE	People & Body	body-parts	fully-qualified	Ear、中等偏深肤色	EAR / MEDIUM-DARK SKIN TONE
370	👂🏿	手势	肤色变体（右键）	👂🏿	未直接列在现有 Emoji 网格	1f442-1f3ff.png	是	U+1F442 U+1F3FF	People & Body	body-parts	fully-qualified	Ear、较深肤色	EAR / DARK SKIN TONE
371	🦻	手势	主网格	🦻	Emoji·符号与旗帜 / 第 44 行	1f9bb.png	是	U+1F9BB	People & Body	body-parts	fully-qualified	戴助听器的耳朵	EAR WITH HEARING AID
372	🦻🏻	手势	肤色变体（右键）	🦻🏻	未直接列在现有 Emoji 网格	1f9bb-1f3fb.png	是	U+1F9BB U+1F3FB	People & Body	body-parts	fully-qualified	Ear带HearingAid、较浅肤色	EAR WITH HEARING AID / LIGHT SKIN TONE
373	🦻🏼	手势	肤色变体（右键）	🦻🏼	未直接列在现有 Emoji 网格	1f9bb-1f3fc.png	是	U+1F9BB U+1F3FC	People & Body	body-parts	fully-qualified	Ear带HearingAid、中等偏浅肤色	EAR WITH HEARING AID / MEDIUM-LIGHT SKIN TONE
374	🦻🏽	手势	肤色变体（右键）	🦻🏽	未直接列在现有 Emoji 网格	1f9bb-1f3fd.png	是	U+1F9BB U+1F3FD	People & Body	body-parts	fully-qualified	Ear带HearingAid、中等肤色	EAR WITH HEARING AID / MEDIUM SKIN TONE
